WERKS,EQUNR,EMATN,DATAB,DATBI,MAABC,MENGE,LEADTIME,cut_date,operate_day,k,demand_peryear,Anper
D601,D18-K-301-P6,6040432,2016-02-03,2099-12-31,B,1.0,592.0,2021-12-31,2158,6.0,0.16666666666666666,PKT
D601,D18-K-301-P6,6040526,2016-02-03,2099-12-31,B,12.0,274.0,2021-12-31,2158,6.0,2.0,PKT
D601,D18-K-301-P6,6048748,2016-02-03,2099-12-31,B,2.0,504.5,2021-12-31,2158,6.0,0.3333333333333333,PKT
D601,D18-K-301-P6,6049395,2016-02-03,2099-12-31,B,1.0,266.0,2021-12-31,2158,6.0,0.16666666666666666,PKT
D601,D18-K-301-P6,6050270,2016-02-03,2099-12-31,B,1.0,414.0,2021-12-31,2158,6.0,0.16666666666666666,PKT
D601,DAS-K-101A-P6,6050270,2017-09-04,2099-12-31,B,2.0,414.0,2021-12-31,1579,4.0,0.5,PKT
D601,D18-K-301-P6,6058250,2016-02-03,2099-12-31,B,1.0,306.0,2021-12-31,2158,6.0,0.16666666666666666,PKT
D601,DG-3002-P6,6058250,2017-09-04,2099-12-31,B,3.0,306.0,2021-12-31,1579,4.0,0.75,PKT
D601,D18-K-301-P6,6058371,2016-02-03,2099-12-31,B,1.0,254.5,2021-12-31,2158,6.0,0.16666666666666666,PKT
D601,D18-K-301-P6,6058507,2016-02-03,2099-12-31,B,1.0,90.0,2021-12-31,2158,6.0,0.16666666666666666,PKT
D601,D18-K-301-P6,6065951,2016-02-03,2099-12-31,B,1.0,495.6666666666667,2021-12-31,2158,6.0,0.16666666666666666,PKT
D601,D18-P-302A-P6,6035306,2016-02-04,2099-12-31,B,1.0,90.0,2021-12-31,2157,6.0,0.16666666666666666,PKT
D601,D18-P-302B-P6,6035306,2016-02-04,2099-12-31,B,1.0,90.0,2021-12-31,2157,6.0,0.16666666666666666,PKT
D601,D18-P-302A-P6,6052512,2016-02-04,2099-12-31,B,10.0,206.5,2021-12-31,2157,6.0,1.6666666666666667,PKT
D601,D18-P-302A-P6,6057545,2016-02-04,2099-12-31,B,1.0,214.0,2021-12-31,2157,6.0,0.16666666666666666,PKT
D601,D18-P-302B-P6,6036125,2016-02-04,2099-12-31,B,8.0,72.0,2021-12-31,2157,6.0,1.3333333333333333,PKT
D601,D2-307-JLJA-K2,6049717,2021-03-08,2099-12-31,C,1.0,283.0,2021-12-31,298,1.0,1.0,PKT
D601,D2-308-JB-K2,6025890,2019-11-27,2099-12-31,B,1.0,379.0,2021-12-31,765,2.0,0.5,PKT
D601,D2-308-JB-K2,6031230,2019-11-27,2099-12-31,B,1.0,269.0,2021-12-31,765,2.0,0.5,PKT
D601,D2-B-2604-K1,6001350,2017-04-04,2099-12-31,B,1.0,234.0,2021-12-31,1732,5.0,0.2,PKT
D601,D2-B-2604-K1,6001510,2017-04-04,2099-12-31,B,1.0,142.0,2021-12-31,1732,5.0,0.2,PKT
D601,D2-B-2604-K1,6022369,2017-04-04,2099-12-31,B,1.0,442.0,2021-12-31,1732,5.0,0.2,PKT
D601,D2-B-2604-K1,6025105,2017-04-04,2099-12-31,B,2.0,516.0,2021-12-31,1732,5.0,0.4,PKT
D601,D2-B-2604-K1,6035529,2017-04-04,2099-12-31,B,1.0,545.5,2021-12-31,1732,5.0,0.2,PKT
D601,D2-B-2604-K1,6038648,2017-04-04,2099-12-31,B,1.0,511.0,2021-12-31,1732,5.0,0.2,PKT
